Current (A),Battery Voltage (V),Accel X (m_s2),Accel Y (m_s2),Accel Z (m_s2),Gyro H (deg),Gyro R (deg),Gyro P (deg),Latitude,Longitude,GPS Status
8.27,19.39,-0.79,-0.06,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.32,19.26,326.89,-0.07,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.33,19.45,326.89,-0.07,9.59,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.25,19.44,-0.79,-0.06,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.25,19.27,326.86,-0.07,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.33,19.39,326.9,-0.07,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.25,19.46,-0.8,-0.05,9.57,0.0,-12.81,-0.31,20.7368,-103.4545,A
8.3,19.27,-0.79,-0.06,9.56,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.31,19.39,-0.79,-0.06,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.23,19.49,-0.78,-0.06,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.3,19.26,326.88,-0.06,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.24,19.34,-0.79,-0.06,9.56,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.3,19.46,-0.79,-0.07,9.58,0.0,-4.81,-0.31,20.7368,-10.6212,A
8.3,19.27,-0.8,-0.08,9.58,0.0,-4.81,-0.31,20.7368,-10.6212,A
8.27,19.38,-0.79,-0.05,9.58,0.0,-4.81,-0.31,20.7368,-10.6212,A
8.27,19.46,-0.79,-0.06,9.57,0.0,2043.19,-0.31,20.7368,-103.4545,A
8.27,19.28,-0.8,-0.07,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.28,19.38,326.89,-0.08,9.58,0.0,-12.81,-0.31,20.7368,-103.4545,A
8.27,19.42,-0.79,-0.07,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.34,19.24,326.88,-0.08,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.25,19.38,326.88,-0.07,9.57,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.27,19.41,-0.81,-0.07,9.57,0.0,-12.81,-0.31,20.7368,-103.4545,A
8.33,19.27,-0.79,-0.09,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.28,19.39,326.89,-0.06,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.26,19.5,326.89,-0.06,9.55,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.3,19.26,-0.83,-0.09,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.31,19.41,-0.79,-0.08,9.55,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.26,19.49,-0.81,-0.1,9.56,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.27,19.3,326.89,-0.06,9.59,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.31,19.41,326.88,-0.05,9.56,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.28,19.48,-0.82,-0.06,9.55,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.3,19.24,-0.78,-0.06,9.55,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.3,19.35,326.89,-0.07,9.56,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.22,19.46,-0.8,-0.09,9.59,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.29,19.24,-0.83,-0.06,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.28,19.39,326.87,-0.08,9.55,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.28,19.46,-0.81,-0.05,9.56,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.26,19.3,-0.81,-0.06,9.6,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.27,19.37,-0.82,-0.07,9.57,0.0,-12.81,-0.31,20.7368,-103.4545,A
8.29,19.5,-0.82,-0.05,9.57,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.29,19.3,-0.79,-0.05,9.6,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.29,19.35,326.86,-0.06,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.26,19.46,-0.8,-0.07,9.57,0.0,2043.19,-0.31,20.7368,-103.4545,A
8.31,19.31,-0.79,-0.06,9.55,0.0,2043.19,-0.31,20.7368,-103.4545,A
8.31,19.39,-0.8,-0.05,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.25,19.45,326.88,-0.08,9.58,0.0,2043.19,-0.31,20.7368,-103.4545,A
8.32,19.24,-0.8,-0.06,9.59,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.3,19.38,-0.8,-0.07,9.55,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.28,19.49,-0.81,-0.05,9.59,0.0,-12.81,-0.31,20.7368,-103.4545,A
8.29,19.3,-0.81,-0.04,9.58,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.28,19.46,-0.8,-0.06,9.58,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.29,19.5,-0.79,-0.07,9.6,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.29,19.24,326.89,-0.03,9.59,0.0,-12.81,-0.31,20.7368,-103.4546,A
8.31,19.38,-0.8,-0.08,9.6,0.0,2043.19,-0.31,20.7368,-103.4546,A
8.23,19.46,-0.79,-0.05,9.59,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.25,19.3,-0.8,-0.08,9.6,0.0,2043.19,-0.31,20.7368,-103.4546,A
8.28,19.39,-0.8,-0.06,9.6,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.24,19.49,-0.79,-0.05,9.56,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.32,19.35,-0.81,-0.06,9.58,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.3,19.35,326.88,-0.07,9.59,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.29,19.5,-0.82,-0.06,9.55,0.0,-12.81,-0.31,20.7368,-103.4546,A
8.32,19.33,-0.8,-0.05,9.6,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.22,19.35,-0.79,-0.08,9.58,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.25,19.41,-0.81,-0.07,9.59,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.33,19.31,326.85,-0.05,9.55,0.0,-12.81,-0.31,20.7368,-103.4546,A
8.32,19.41,-0.81,-0.05,9.58,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.26,19.45,-0.79,-0.07,9.58,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.3,19.3,326.89,-0.05,9.57,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.31,19.38,326.89,-0.06,9.55,0.0,2035.19,-0.31,20.735,-103.4547,A
8.22,19.42,-0.8,-0.08,9.55,0.0,-4.81,-0.31,20.735,-103.4547,A
8.29,19.28,-0.8,-0.07,9.57,0.0,-4.81,-0.31,20.735,-103.4547,A
